Medication Name,Generic Name,Indication,Dosage Form,Strength
Aspirin,Acetylsalicylic Acid,Pain Relief,Tablet,81mg
Lisinopril,Lisinopril,Hypertension,Tablet,10mg
Amlodipine,Amlodipine,Hypertension,Tablet,5mg
Simvastatin,Simvastatin,High Cholesterol,Tablet,20mg
Omeprazole,Omeprazole,Acid Reflux,Capsule,20mg
Metformin,Metformin,Diabetes,Tablet,500mg
Atenolol,Atenolol,Hypertension,Tablet,50mg
Warfarin,Warfarin,Blood Thinner,Tablet,2mg
Furosemide,Furosemide,Edema,Tablet,40mg
Alprazolam,Alprazolam,Anxiety,Tablet,0.5mg